app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778253160390932, ref_stop_time: 778253160599252, actual_exe_time: 208320, task_app_start_time:778253159130151, task_sched_time:778253160386102
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778253161786652, ref_stop_time: 778253161865432, actual_exe_time: 78780, task_app_start_time:778253159130151, task_sched_time:778253161777712
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253161883282, ref_stop_time: 778253162020922, actual_exe_time: 137640, task_app_start_time:778253160862502, task_sched_time:778253161879352
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778253162074472, ref_stop_time: 778253162149322, actual_exe_time: 74850, task_app_start_time:778253159130151, task_sched_time:778253162068652
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253162182022, ref_stop_time: 778253162510042, actual_exe_time: 328020, task_app_start_time:778253159130151, task_sched_time:778253162175872
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253163022172, ref_stop_time: 778253163102002, actual_exe_time: 79830, task_app_start_time:778253160862502, task_sched_time:778253163018572
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778253163180692, ref_stop_time: 778253163254432, actual_exe_time: 73740, task_app_start_time:778253160862502, task_sched_time:778253163178082
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778253163317162, ref_stop_time: 778253163457592, actual_exe_time: 140430, task_app_start_time:778253160862502, task_sched_time:778253163312812
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778253163616832, ref_stop_time: 778253163736982, actual_exe_time: 120150, task_app_start_time:778253162601272, task_sched_time:778253163567842
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778253165242652, ref_stop_time: 778253165320712, actual_exe_time: 78060, task_app_start_time:778253164344062, task_sched_time:778253165239682
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778253165557623, ref_stop_time: 778253165635293, actual_exe_time: 77670, task_app_start_time:778253162601272, task_sched_time:778253165554923
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 778253165754213, ref_stop_time: 778253165827893, actual_exe_time: 73680, task_app_start_time:778253162601272, task_sched_time:778253165750703
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778253165924523, ref_stop_time: 778253166011043, actual_exe_time: 86520, task_app_start_time:778253162601272, task_sched_time:778253165914293
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778253166262953, ref_stop_time: 778253166342813, actual_exe_time: 79860, task_app_start_time:778253164344062, task_sched_time:778253166209013
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778253166439203, ref_stop_time: 778253166512973, actual_exe_time: 73770, task_app_start_time:778253164344062, task_sched_time:778253166420333
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253166572163, ref_stop_time: 778253166657903, actual_exe_time: 85740, task_app_start_time:778253164344062, task_sched_time:778253166567513
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253167017453, ref_stop_time: 778253167097343, actual_exe_time: 79890, task_app_start_time:778253166069183, task_sched_time:778253167013973
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778253168003433, ref_stop_time: 778253168081013, actual_exe_time: 77580, task_app_start_time:778253166069183, task_sched_time:778253167999923
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778253168158683, ref_stop_time: 778253168232183, actual_exe_time: 73500, task_app_start_time:778253166069183, task_sched_time:778253168156553
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778253168291763, ref_stop_time: 778253168377713, actual_exe_time: 85950, task_app_start_time:778253166069183, task_sched_time:778253168285553
