app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346977522365, ref_stop_time: 780346977633065, actual_exe_time: 110700, task_app_start_time:780346976239655, task_sched_time:780346977509285
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346979636585, ref_stop_time: 780346979698355, actual_exe_time: 61770, task_app_start_time:780346978542575, task_sched_time:780346979633555
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346979993015, ref_stop_time: 780346980054035, actual_exe_time: 61020, task_app_start_time:780346976239655, task_sched_time:780346979986445
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780346980195095, ref_stop_time: 780346980346025, actual_exe_time: 150930, task_app_start_time:780346976239655, task_sched_time:780346980186335
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346980451625, ref_stop_time: 780346980555485, actual_exe_time: 103860, task_app_start_time:780346976239655, task_sched_time:780346980444995
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346981715856, ref_stop_time: 780346981777776, actual_exe_time: 61920, task_app_start_time:780346978542575, task_sched_time:780346981711476
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780346981821606, ref_stop_time: 780346981898676, actual_exe_time: 77070, task_app_start_time:780346980856955, task_sched_time:780346981811136
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780346982277516, ref_stop_time: 780346982394906, actual_exe_time: 117390, task_app_start_time:780346978542575, task_sched_time:780346981898166
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346982494236, ref_stop_time: 780346982590656, actual_exe_time: 96420, task_app_start_time:780346978542575, task_sched_time:780346982482596
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346984088466, ref_stop_time: 780346984147986, actual_exe_time: 59520, task_app_start_time:780346980856955, task_sched_time:780346983677856
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346984214556, ref_stop_time: 780346984275186, actual_exe_time: 60630, task_app_start_time:780346983175806, task_sched_time:780346984075416
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780346984280766, ref_stop_time: 780346984399476, actual_exe_time: 118710, task_app_start_time:780346980856955, task_sched_time:780346984269396
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346984758606, ref_stop_time: 780346984854906, actual_exe_time: 96300, task_app_start_time:780346980856955, task_sched_time:780346984485426
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346986031626, ref_stop_time: 780346986093126, actual_exe_time: 61500, task_app_start_time:780346983175806, task_sched_time:780346986026496
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780346986216546, ref_stop_time: 780346986333756, actual_exe_time: 117210, task_app_start_time:780346983175806, task_sched_time:780346986209046
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346986369726, ref_stop_time: 780346986428496, actual_exe_time: 58770, task_app_start_time:780346985486226, task_sched_time:780346986367326
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780346986453876, ref_stop_time: 780346986551556, actual_exe_time: 97680, task_app_start_time:780346983175806, task_sched_time:780346986451176
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346988112637, ref_stop_time: 780346988172187, actual_exe_time: 59550, task_app_start_time:780346985486226, task_sched_time:780346988108227
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 780346988297047, ref_stop_time: 780346988413717, actual_exe_time: 116670, task_app_start_time:780346985486226, task_sched_time:780346988289307
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780346988508037, ref_stop_time: 780346988604907, actual_exe_time: 96870, task_app_start_time:780346985486226, task_sched_time:780346988503537
