app_id: 0, app_name: pulse_doppler_api-x86, task_id: 26, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681265384682, ref_stop_time: 105681265391505, actual_exe_time: 6823, task_app_start_time:105681260255688, task_sched_time:105681265383129
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681265504848, ref_stop_time: 105681265560443, actual_exe_time: 55595, task_app_start_time:105681260255688, task_sched_time:105681265502143
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 28, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681265739029, ref_stop_time: 105681265793542, actual_exe_time: 54513, task_app_start_time:105681260255688, task_sched_time:105681265737035
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 29, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681265865367, ref_stop_time: 105681265917345, actual_exe_time: 51978, task_app_start_time:105681260255688, task_sched_time:105681265864265
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 30, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681265985002, ref_stop_time: 105681266035768, actual_exe_time: 50766, task_app_start_time:105681260255688, task_sched_time:105681265982507
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681266102934, ref_stop_time: 105681266148249, actual_exe_time: 45315, task_app_start_time:105681260255688, task_sched_time:105681266100760
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681266311767, ref_stop_time: 105681266362533, actual_exe_time: 50766, task_app_start_time:105681260255688, task_sched_time:105681266310345
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681266436913, ref_stop_time: 105681266487829, actual_exe_time: 50916, task_app_start_time:105681260255688, task_sched_time:105681266434368
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 34, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681266569302, ref_stop_time: 105681266574612, actual_exe_time: 5310, task_app_start_time:105681260255688, task_sched_time:105681266567639
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 35, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681266659031, ref_stop_time: 105681266666425, actual_exe_time: 7394, task_app_start_time:105681260255688, task_sched_time:105681266656987
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681266809023, ref_stop_time: 105681266817679, actual_exe_time: 8656, task_app_start_time:105681260255688, task_sched_time:105681266807741
