app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672722582505, ref_stop_time: 779672722779785, actual_exe_time: 197280, task_app_start_time:779672719782125, task_sched_time:779672722574405
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672724321276, ref_stop_time: 779672724402096, actual_exe_time: 80820, task_app_start_time:779672719782125, task_sched_time:779672723475756
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672724499056, ref_stop_time: 779672724578016, actual_exe_time: 78960, task_app_start_time:779672721517775, task_sched_time:779672723662596
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779672724534786, ref_stop_time: 779672724699966, actual_exe_time: 165180, task_app_start_time:779672719782125, task_sched_time:779672724517956
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672724670446, ref_stop_time: 779672724751716, actual_exe_time: 81270, task_app_start_time:779672723254836, task_sched_time:779672724311466
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672725299966, ref_stop_time: 779672725385286, actual_exe_time: 85320, task_app_start_time:779672719782125, task_sched_time:779672724764376
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672725544556, ref_stop_time: 779672725622076, actual_exe_time: 77520, task_app_start_time:779672721517775, task_sched_time:779672725542276
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779672725707276, ref_stop_time: 779672725826106, actual_exe_time: 118830, task_app_start_time:779672721517775, task_sched_time:779672725702656
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672725881336, ref_stop_time: 779672725962216, actual_exe_time: 80880, task_app_start_time:779672721517775, task_sched_time:779672725876056
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672726039496, ref_stop_time: 779672726117406, actual_exe_time: 77910, task_app_start_time:779672724990666, task_sched_time:779672726036256
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672726702046, ref_stop_time: 779672726782956, actual_exe_time: 80910, task_app_start_time:779672723254836, task_sched_time:779672726695926
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672727218256, ref_stop_time: 779672727296826, actual_exe_time: 78570, task_app_start_time:779672724990666, task_sched_time:779672727210366
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672727627786, ref_stop_time: 779672727706056, actual_exe_time: 78270, task_app_start_time:779672726723226, task_sched_time:779672727625626
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779672727634326, ref_stop_time: 779672727753906, actual_exe_time: 119580, task_app_start_time:779672723254836, task_sched_time:779672726900586
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779672727758856, ref_stop_time: 779672727874866, actual_exe_time: 116010, task_app_start_time:779672724990666, task_sched_time:779672727374076
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672727852006, ref_stop_time: 779672727936546, actual_exe_time: 84540, task_app_start_time:779672723254836, task_sched_time:779672727846036
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672728172556, ref_stop_time: 779672728255626, actual_exe_time: 83070, task_app_start_time:779672724990666, task_sched_time:779672727928986
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672728594536, ref_stop_time: 779672728673196, actual_exe_time: 78660, task_app_start_time:779672726723226, task_sched_time:779672728587756
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779672728755606, ref_stop_time: 779672728874436, actual_exe_time: 118830, task_app_start_time:779672726723226, task_sched_time:779672728749996
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779672728930746, ref_stop_time: 779672729011746, actual_exe_time: 81000, task_app_start_time:779672726723226, task_sched_time:779672728925346
