app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778425589229221, ref_stop_time: 778425589401421, actual_exe_time: 172200, task_app_start_time:778425588176221, task_sched_time:778425589218271
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425589229281, ref_stop_time: 778425589450621, actual_exe_time: 221340, task_app_start_time:778425586983961, task_sched_time:778425588824401
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778425590276401, ref_stop_time: 778425590417491, actual_exe_time: 141090, task_app_start_time:778425586983961, task_sched_time:778425590269651
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778425590958631, ref_stop_time: 778425591117961, actual_exe_time: 159330, task_app_start_time:778425586983961, task_sched_time:778425590502061
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425590961901, ref_stop_time: 778425591040681, actual_exe_time: 78780, task_app_start_time:778425589913311, task_sched_time:778425590948461
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778425591340201, ref_stop_time: 778425591419581, actual_exe_time: 79380, task_app_start_time:778425588176221, task_sched_time:778425591337531
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778425591455131, ref_stop_time: 778425591554701, actual_exe_time: 99570, task_app_start_time:778425586983961, task_sched_time:778425591180121
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778425591566731, ref_stop_time: 778425591684091, actual_exe_time: 117360, task_app_start_time:778425588176221, task_sched_time:778425591561301
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425591852092, ref_stop_time: 778425591937532, actual_exe_time: 85440, task_app_start_time:778425588176221, task_sched_time:778425591844322
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778425592779152, ref_stop_time: 778425592857992, actual_exe_time: 78840, task_app_start_time:778425591648181, task_sched_time:778425592772102
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778425592968482, ref_stop_time: 778425593048402, actual_exe_time: 79920, task_app_start_time:778425589913311, task_sched_time:778425592965182
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778425593178542, ref_stop_time: 778425593297762, actual_exe_time: 119220, task_app_start_time:778425589913311, task_sched_time:778425593168282
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778425593798162, ref_stop_time: 778425593877392, actual_exe_time: 79230, task_app_start_time:778425591648181, task_sched_time:778425593795252
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 778425593959712, ref_stop_time: 778425594037112, actual_exe_time: 77400, task_app_start_time:778425591648181, task_sched_time:778425593953112
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 778425594286442, ref_stop_time: 778425594364442, actual_exe_time: 78000, task_app_start_time:778425593382902, task_sched_time:778425594279812
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425594296492, ref_stop_time: 778425594385652, actual_exe_time: 89160, task_app_start_time:778425589913311, task_sched_time:778425593454602
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425594390602, ref_stop_time: 778425594471752, actual_exe_time: 81150, task_app_start_time:778425591648181, task_sched_time:778425594090662
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 778425596082722, ref_stop_time: 778425596162492, actual_exe_time: 79770, task_app_start_time:778425593382902, task_sched_time:778425596078792
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778425596287142, ref_stop_time: 778425596404592, actual_exe_time: 117450, task_app_start_time:778425593382902, task_sched_time:778425596279552
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778425596501102, ref_stop_time: 778425596585792, actual_exe_time: 84690, task_app_start_time:778425593382902, task_sched_time:778425596487812
