app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679062302083, ref_stop_time: 778679062412123, actual_exe_time: 110040, task_app_start_time:778679060999063, task_sched_time:778679062285973
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679063789363, ref_stop_time: 778679063849363, actual_exe_time: 60000, task_app_start_time:778679062733693, task_sched_time:778679063777543
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679064767604, ref_stop_time: 778679064830754, actual_exe_time: 63150, task_app_start_time:778679060999063, task_sched_time:778679064757344
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778679064968904, ref_stop_time: 778679065116624, actual_exe_time: 147720, task_app_start_time:778679060999063, task_sched_time:778679064965394
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679065225884, ref_stop_time: 778679065332414, actual_exe_time: 106530, task_app_start_time:778679060999063, task_sched_time:778679065218774
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679065674054, ref_stop_time: 778679065735614, actual_exe_time: 61560, task_app_start_time:778679064469944, task_sched_time:778679065664604
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679065810194, ref_stop_time: 778679065869264, actual_exe_time: 59070, task_app_start_time:778679062733693, task_sched_time:778679065798554
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778679065999314, ref_stop_time: 778679066119554, actual_exe_time: 120240, task_app_start_time:778679062733693, task_sched_time:778679065994874
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679066203134, ref_stop_time: 778679067223254, actual_exe_time: 1020120, task_app_start_time:778679062733693, task_sched_time:778679066197914
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679067276534, ref_stop_time: 778679067338484, actual_exe_time: 61950, task_app_start_time:778679066211654, task_sched_time:778679067122514
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679068651284, ref_stop_time: 778679068710774, actual_exe_time: 59490, task_app_start_time:778679064469944, task_sched_time:778679068643214
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679068875534, ref_stop_time: 778679068934454, actual_exe_time: 58920, task_app_start_time:778679067939624, task_sched_time:778679068872054
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679069131554, ref_stop_time: 778679069195724, actual_exe_time: 64170, task_app_start_time:778679066211654, task_sched_time:778679069123094
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778679069376624, ref_stop_time: 778679069493444, actual_exe_time: 116820, task_app_start_time:778679064469944, task_sched_time:778679068985154
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679069543814, ref_stop_time: 778679069641524, actual_exe_time: 97710, task_app_start_time:778679064469944, task_sched_time:778679069535774
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778679069562774, ref_stop_time: 778679069681124, actual_exe_time: 118350, task_app_start_time:778679066211654, task_sched_time:778679069308254
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679069784504, ref_stop_time: 778679069885724, actual_exe_time: 101220, task_app_start_time:778679066211654, task_sched_time:778679069776134
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679070710875, ref_stop_time: 778679070769675, actual_exe_time: 58800, task_app_start_time:778679067939624, task_sched_time:778679070708265
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778679070891295, ref_stop_time: 778679071009615, actual_exe_time: 118320, task_app_start_time:778679067939624, task_sched_time:778679070887005
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778679071098385, ref_stop_time: 778679071195195, actual_exe_time: 96810, task_app_start_time:778679067939624, task_sched_time:778679071092955
