app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866629837939, ref_stop_time: 778866629952989, actual_exe_time: 115050, task_app_start_time:778866627996419, task_sched_time:778866629826059
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866631722479, ref_stop_time: 778866631787069, actual_exe_time: 64590, task_app_start_time:778866627996419, task_sched_time:778866631715279
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 778866631915889, ref_stop_time: 778866631996079, actual_exe_time: 80190, task_app_start_time:778866627996419, task_sched_time:778866631910969
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866632061239, ref_stop_time: 778866632161799, actual_exe_time: 100560, task_app_start_time:778866627996419, task_sched_time:778866632057699
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866633636539, ref_stop_time: 778866633699929, actual_exe_time: 63390, task_app_start_time:778866632649269, task_sched_time:778866633609719
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866634755450, ref_stop_time: 778866634814580, actual_exe_time: 59130, task_app_start_time:778866631560059, task_sched_time:778866634751160
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866634952310, ref_stop_time: 778866635013150, actual_exe_time: 60840, task_app_start_time:778866631560059, task_sched_time:778866634873020
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778866635131950, ref_stop_time: 778866635206440, actual_exe_time: 74490, task_app_start_time:778866631560059, task_sched_time:778866635129310
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866635300790, ref_stop_time: 778866635397360, actual_exe_time: 96570, task_app_start_time:778866631560059, task_sched_time:778866635293860
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866635618670, ref_stop_time: 778866635682420, actual_exe_time: 63750, task_app_start_time:778866632649269, task_sched_time:778866635581950
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 778866635805900, ref_stop_time: 778866635882640, actual_exe_time: 76740, task_app_start_time:778866632649269, task_sched_time:778866635801580
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866635980830, ref_stop_time: 778866636082170, actual_exe_time: 101340, task_app_start_time:778866632649269, task_sched_time:778866635970000
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866636345030, ref_stop_time: 778866636405270, actual_exe_time: 60240, task_app_start_time:778866634946310, task_sched_time:778866636070320
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866637446030, ref_stop_time: 778866637504140, actual_exe_time: 58110, task_app_start_time:778866634946310, task_sched_time:778866637441860
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 778866637595370, ref_stop_time: 778866637672290, actual_exe_time: 76920, task_app_start_time:778866634946310, task_sched_time:778866637591050
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866637733580, ref_stop_time: 778866637830240, actual_exe_time: 96660, task_app_start_time:778866634946310, task_sched_time:778866637725600
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866638162310, ref_stop_time: 778866638220240, actual_exe_time: 57930, task_app_start_time:778866637261530, task_sched_time:778866638156490
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866639891930, ref_stop_time: 778866639952260, actual_exe_time: 60330, task_app_start_time:778866637261530, task_sched_time:778866639884610
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 778866640073281, ref_stop_time: 778866640146871, actual_exe_time: 73590, task_app_start_time:778866637261530, task_sched_time:778866640065811
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778866640241431, ref_stop_time: 778866640337251, actual_exe_time: 95820, task_app_start_time:778866637261530, task_sched_time:778866640238401
