app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779824810518781, ref_stop_time: 779824810711261, actual_exe_time: 192480, task_app_start_time:779824809237211, task_sched_time:779824810504531
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 779824811999132, ref_stop_time: 779824812145052, actual_exe_time: 145920, task_app_start_time:779824810972501, task_sched_time:779824811994572
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 779824813074782, ref_stop_time: 779824813216832, actual_exe_time: 142050, task_app_start_time:779824809237211, task_sched_time:779824813063112
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779824813370462, ref_stop_time: 779824813529432, actual_exe_time: 158970, task_app_start_time:779824809237211, task_sched_time:779824813366982
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779824813638512, ref_stop_time: 779824813725002, actual_exe_time: 86490, task_app_start_time:779824809237211, task_sched_time:779824813633982
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 779824813788182, ref_stop_time: 779824813871612, actual_exe_time: 83430, task_app_start_time:779824812731252, task_sched_time:779824813772552
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779824815376682, ref_stop_time: 779824815466412, actual_exe_time: 89730, task_app_start_time:779824814443952, task_sched_time:779824815367412
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 779824815380222, ref_stop_time: 779824815461342, actual_exe_time: 81120, task_app_start_time:779824810972501, task_sched_time:779824814998352
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779824815631952, ref_stop_time: 779824815752432, actual_exe_time: 120480, task_app_start_time:779824810972501, task_sched_time:779824815626342
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779824815880082, ref_stop_time: 779824815966032, actual_exe_time: 85950, task_app_start_time:779824810972501, task_sched_time:779824815866012
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 779824816735562, ref_stop_time: 779824816818392, actual_exe_time: 82830, task_app_start_time:779824812731252, task_sched_time:779824816726892
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 779824816990892, ref_stop_time: 779824817080502, actual_exe_time: 89610, task_app_start_time:779824812731252, task_sched_time:779824816978922
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779824817215202, ref_stop_time: 779824817321612, actual_exe_time: 106410, task_app_start_time:779824812731252, task_sched_time:779824817200382
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779824817231972, ref_stop_time: 779824817308952, actual_exe_time: 76980, task_app_start_time:779824814443952, task_sched_time:779824817222342
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779824817776112, ref_stop_time: 779824817893082, actual_exe_time: 116970, task_app_start_time:779824814443952, task_sched_time:779824817424392
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779824817993762, ref_stop_time: 779824818077073, actual_exe_time: 83311, task_app_start_time:779824814443952, task_sched_time:779824817983022
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 779824819446603, ref_stop_time: 779824819527003, actual_exe_time: 80400, task_app_start_time:779824816183382, task_sched_time:779824819439613
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 779824819801683, ref_stop_time: 779824819881543, actual_exe_time: 79860, task_app_start_time:779824816183382, task_sched_time:779824819794963
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779824820041383, ref_stop_time: 779824820160543, actual_exe_time: 119160, task_app_start_time:779824816183382, task_sched_time:779824820037093
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779824820286483, ref_stop_time: 779824820371983, actual_exe_time: 85500, task_app_start_time:779824816183382, task_sched_time:779824820272923
