app_id: 0, app_name: TX_api-x86, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933402028860, ref_stop_time: 105933402037666, actual_exe_time: 8806, task_app_start_time:105933396325063, task_sched_time:105933402026395
app_id: 0, app_name: TX_api-x86, task_id: 28, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933402135480, ref_stop_time: 105933402142544, actual_exe_time: 7064, task_app_start_time:105933396325063, task_sched_time:105933402133917
app_id: 0, app_name: TX_api-x86, task_id: 29, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933402240318, ref_stop_time: 105933402247131, actual_exe_time: 6813, task_app_start_time:105933396325063, task_sched_time:105933402238294
app_id: 0, app_name: TX_api-x86, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933402418313, ref_stop_time: 105933402426528, actual_exe_time: 8215, task_app_start_time:105933396325063, task_sched_time:105933402415608
app_id: 0, app_name: TX_api-x86, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933402550341, ref_stop_time: 105933402557475, actual_exe_time: 7134, task_app_start_time:105933396325063, task_sched_time:105933402548478
app_id: 0, app_name: TX_api-x86, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933402657202, ref_stop_time: 105933402664156, actual_exe_time: 6954, task_app_start_time:105933396325063, task_sched_time:105933402655960
app_id: 0, app_name: TX_api-x86, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933402749817, ref_stop_time: 105933402797116, actual_exe_time: 47299, task_app_start_time:105933396325063, task_sched_time:105933402747202
app_id: 0, app_name: TX_api-x86, task_id: 34, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933402899168, ref_stop_time: 105933402906041, actual_exe_time: 6873, task_app_start_time:105933396325063, task_sched_time:105933402897966
app_id: 0, app_name: TX_api-x86, task_id: 35, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933403022881, ref_stop_time: 105933403029884, actual_exe_time: 7003, task_app_start_time:105933396325063, task_sched_time:105933403021638
app_id: 0, app_name: TX_api-x86, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933403131726, ref_stop_time: 105933403140542, actual_exe_time: 8816, task_app_start_time:105933396325063, task_sched_time:105933403129041
app_id: 0, app_name: TX_api-x86, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933403253104, ref_stop_time: 105933403260037, actual_exe_time: 6933, task_app_start_time:105933396325063, task_sched_time:105933403251822
app_id: 0, app_name: TX_api-x86, task_id: 38, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933403359294, ref_stop_time: 105933403366177, actual_exe_time: 6883, task_app_start_time:105933396325063, task_sched_time:105933403357330
app_id: 0, app_name: TX_api-x86, task_id: 39, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933403500891, ref_stop_time: 105933403509677, actual_exe_time: 8786, task_app_start_time:105933396325063, task_sched_time:105933403499137
app_id: 0, app_name: TX_api-x86, task_id: 40, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933403699284, ref_stop_time: 105933403706287, actual_exe_time: 7003, task_app_start_time:105933396325063, task_sched_time:105933403696950
app_id: 0, app_name: TX_api-x86, task_id: 41, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933403810613, ref_stop_time: 105933403817537, actual_exe_time: 6924, task_app_start_time:105933396325063, task_sched_time:105933403809652
app_id: 0, app_name: TX_api-x86, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933403917625, ref_stop_time: 105933403926001, actual_exe_time: 8376, task_app_start_time:105933396325063, task_sched_time:105933403915521
app_id: 0, app_name: TX_api-x86, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933404025989, ref_stop_time: 105933404032782, actual_exe_time: 6793, task_app_start_time:105933396325063, task_sched_time:105933404023384
app_id: 0, app_name: TX_api-x86, task_id: 44, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933404134714, ref_stop_time: 105933404141576, actual_exe_time: 6862, task_app_start_time:105933396325063, task_sched_time:105933404133521
app_id: 0, app_name: TX_api-x86, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933404242286, ref_stop_time: 105933404251283, actual_exe_time: 8997, task_app_start_time:105933396325063, task_sched_time:105933404239922
app_id: 0, app_name: TX_api-x86, task_id: 46, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933404349879, ref_stop_time: 105933404356681, actual_exe_time: 6802, task_app_start_time:105933396325063, task_sched_time:105933404348656
app_id: 0, app_name: TX_api-x86, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933404465256, ref_stop_time: 105933404472319, actual_exe_time: 7063, task_app_start_time:105933396325063, task_sched_time:105933404463062
app_id: 0, app_name: TX_api-x86, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933404576796, ref_stop_time: 105933404585582, actual_exe_time: 8786, task_app_start_time:105933396325063, task_sched_time:105933404574632
app_id: 0, app_name: TX_api-x86, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933404683236, ref_stop_time: 105933404690229, actual_exe_time: 6993, task_app_start_time:105933396325063, task_sched_time:105933404682104
app_id: 0, app_name: TX_api-x86, task_id: 50, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933404860470, ref_stop_time: 105933404867343, actual_exe_time: 6873, task_app_start_time:105933396325063, task_sched_time:105933404859307
app_id: 0, app_name: TX_api-x86, task_id: 51, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933404970507, ref_stop_time: 105933404979153, actual_exe_time: 8646, task_app_start_time:105933396325063, task_sched_time:105933404968182
