app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537136999653, ref_stop_time: 778537137170773, actual_exe_time: 171120, task_app_start_time:778537135553413, task_sched_time:778537136991013
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537138149013, ref_stop_time: 778537138208473, actual_exe_time: 59460, task_app_start_time:778537136871763, task_sched_time:778537138146403
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537139557153, ref_stop_time: 778537139622523, actual_exe_time: 65370, task_app_start_time:778537135553413, task_sched_time:778537139547613
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 778537139664133, ref_stop_time: 778537139738413, actual_exe_time: 74280, task_app_start_time:778537138609633, task_sched_time:778537139653663
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537140052783, ref_stop_time: 778537140111823, actual_exe_time: 59040, task_app_start_time:778537136871763, task_sched_time:778537140048883
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778537140220183, ref_stop_time: 778537140370033, actual_exe_time: 149850, task_app_start_time:778537135553413, task_sched_time:778537139755633
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778537140454903, ref_stop_time: 778537140572563, actual_exe_time: 117660, task_app_start_time:778537136871763, task_sched_time:778537140326803
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537141376623, ref_stop_time: 778537141479223, actual_exe_time: 102600, task_app_start_time:778537136871763, task_sched_time:778537140659203
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537141619354, ref_stop_time: 778537141691234, actual_exe_time: 71880, task_app_start_time:778537140344443, task_sched_time:778537141360603
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537141695734, ref_stop_time: 778537141816214, actual_exe_time: 120480, task_app_start_time:778537135553413, task_sched_time:778537141507273
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537141960094, ref_stop_time: 778537142019794, actual_exe_time: 59700, task_app_start_time:778537138609633, task_sched_time:778537141759544
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778537142163914, ref_stop_time: 778537142282774, actual_exe_time: 118860, task_app_start_time:778537138609633, task_sched_time:778537142152664
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537142375324, ref_stop_time: 778537142471924, actual_exe_time: 96600, task_app_start_time:778537138609633, task_sched_time:778537142368964
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537142993294, ref_stop_time: 778537143051794, actual_exe_time: 58500, task_app_start_time:778537142078564, task_sched_time:778537142981204
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537144023344, ref_stop_time: 778537144085594, actual_exe_time: 62250, task_app_start_time:778537140344443, task_sched_time:778537143962384
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778537144210874, ref_stop_time: 778537144327784, actual_exe_time: 116910, task_app_start_time:778537140344443, task_sched_time:778537144202504
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537144423844, ref_stop_time: 778537144524044, actual_exe_time: 100200, task_app_start_time:778537140344443, task_sched_time:778537144416074
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537144777724, ref_stop_time: 778537144837604, actual_exe_time: 59880, task_app_start_time:778537142078564, task_sched_time:778537144769684
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778537144960394, ref_stop_time: 778537145075924, actual_exe_time: 115530, task_app_start_time:778537142078564, task_sched_time:778537144957064
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 778537145175164, ref_stop_time: 778537145272514, actual_exe_time: 97350, task_app_start_time:778537142078564, task_sched_time:778537145165084
