app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215163965762, ref_stop_time: 780215164163672, actual_exe_time: 197910, task_app_start_time:780215162672852, task_sched_time:780215163955562
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215166043262, ref_stop_time: 780215166124592, actual_exe_time: 81330, task_app_start_time:780215162672852, task_sched_time:780215166036032
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780215166543662, ref_stop_time: 780215166709592, actual_exe_time: 165930, task_app_start_time:780215162672852, task_sched_time:780215166222002
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215166788642, ref_stop_time: 780215166873992, actual_exe_time: 85350, task_app_start_time:780215162672852, task_sched_time:780215166779162
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215168263083, ref_stop_time: 780215168343243, actual_exe_time: 80160, task_app_start_time:780215164983212, task_sched_time:780215167527872
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215168432673, ref_stop_time: 780215168513823, actual_exe_time: 81150, task_app_start_time:780215167300772, task_sched_time:780215168247243
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215168919573, ref_stop_time: 780215168997663, actual_exe_time: 78090, task_app_start_time:780215164983212, task_sched_time:780215168906373
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780215169079173, ref_stop_time: 780215169198543, actual_exe_time: 119370, task_app_start_time:780215164983212, task_sched_time:780215169072873
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215169259293, ref_stop_time: 780215169340443, actual_exe_time: 81150, task_app_start_time:780215164983212, task_sched_time:780215169248913
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215170299933, ref_stop_time: 780215170380993, actual_exe_time: 81060, task_app_start_time:780215167300772, task_sched_time:780215170288413
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780215170532883, ref_stop_time: 780215170650093, actual_exe_time: 117210, task_app_start_time:780215167300772, task_sched_time:780215170529973
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215170543533, ref_stop_time: 780215170622853, actual_exe_time: 79320, task_app_start_time:780215169621693, task_sched_time:780215170533723
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215170784103, ref_stop_time: 780215170868163, actual_exe_time: 84060, task_app_start_time:780215167300772, task_sched_time:780215170768743
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215171520453, ref_stop_time: 780215171600073, actual_exe_time: 79620, task_app_start_time:780215169621693, task_sched_time:780215171510883
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780215171680353, ref_stop_time: 780215171796003, actual_exe_time: 115650, task_app_start_time:780215169621693, task_sched_time:780215171676633
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215171860683, ref_stop_time: 780215171942613, actual_exe_time: 81930, task_app_start_time:780215169621693, task_sched_time:780215171852583
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215172821043, ref_stop_time: 780215172898923, actual_exe_time: 77880, task_app_start_time:780215171927313, task_sched_time:780215172811803
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215173762983, ref_stop_time: 780215173840623, actual_exe_time: 77640, task_app_start_time:780215171927313, task_sched_time:780215173760733
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780215173924713, ref_stop_time: 780215174043873, actual_exe_time: 119160, task_app_start_time:780215171927313, task_sched_time:780215173917333
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 780215174103723, ref_stop_time: 780215174184634, actual_exe_time: 80911, task_app_start_time:780215171927313, task_sched_time:780215174094873
