app_id: 1, app_name: SAR_api-aarch64, task_id: 10, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1989912218764131, ref_stop_time: 1989912219044721, actual_exe_time: 280590, task_app_start_time:1989911513509738, task_sched_time:1989912218760441
app_id: 0, app_name: SAR_api-aarch64, task_id: 16, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1989912219194601, ref_stop_time: 1989912219287661, actual_exe_time: 93060, task_app_start_time:1989911512949848, task_sched_time:1989912219115041
app_id: 0, app_name: SAR_api-aarch64, task_id: 17, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 1989912219870411, ref_stop_time: 1989912219994341, actual_exe_time: 123930, task_app_start_time:1989911512949848, task_sched_time:1989912219866091
app_id: 1, app_name: SAR_api-aarch64, task_id: 11, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 1989912220317592, ref_stop_time: 1989912220433812, actual_exe_time: 116220, task_app_start_time:1989911513509738, task_sched_time:1989912220311352
app_id: 0, app_name: SAR_api-aarch64, task_id: 18, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1989912220560082, ref_stop_time: 1989912220849192, actual_exe_time: 289110, task_app_start_time:1989911512949848, task_sched_time:1989912220550152
app_id: 1, app_name: SAR_api-aarch64, task_id: 12, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1989912221120752, ref_stop_time: 1989912221236882, actual_exe_time: 116130, task_app_start_time:1989911513509738, task_sched_time:1989912221113642
app_id: 0, app_name: SAR_api-aarch64, task_id: 19, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1989912221474602, ref_stop_time: 1989912221568592, actual_exe_time: 93990, task_app_start_time:1989911512949848, task_sched_time:1989912221430022
app_id: 1, app_name: SAR_api-aarch64, task_id: 13, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 1989912221929492, ref_stop_time: 1989912221994712, actual_exe_time: 65220, task_app_start_time:1989911513509738, task_sched_time:1989912221919712
app_id: 0, app_name: SAR_api-aarch64, task_id: 20, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 1989912222655822, ref_stop_time: 1989912222774292, actual_exe_time: 118470, task_app_start_time:1989911512949848, task_sched_time:1989912222652342
app_id: 1, app_name: SAR_api-aarch64, task_id: 14, task_name: DASH_ZIP, resource_name: zip2, ref_start_time: 1989912222966802, ref_stop_time: 1989912223408792, actual_exe_time: 441990, task_app_start_time:1989911513509738, task_sched_time:1989912222962872
app_id: 0, app_name: SAR_api-aarch64, task_id: 21, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1989912223240972, ref_stop_time: 1989912223331182, actual_exe_time: 90210, task_app_start_time:1989911512949848, task_sched_time:1989912223236742
app_id: 0, app_name: SAR_api-aarch64, task_id: 22, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1989912223771402, ref_stop_time: 1989912223861252, actual_exe_time: 89850, task_app_start_time:1989911512949848, task_sched_time:1989912223766872
app_id: 0, app_name: SAR_api-aarch64, task_id: 23, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 1989912224355532, ref_stop_time: 1989912224435782, actual_exe_time: 80250, task_app_start_time:1989911512949848, task_sched_time:1989912224346022
app_id: 1, app_name: SAR_api-aarch64, task_id: 15, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 1989912224715952, ref_stop_time: 1989912225109852, actual_exe_time: 393900, task_app_start_time:1989911513509738, task_sched_time:1989912224712922
app_id: 0, app_name: SAR_api-aarch64, task_id: 24, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 1989912225051322, ref_stop_time: 1989912225294982, actual_exe_time: 243660, task_app_start_time:1989911512949848, task_sched_time:1989912225045712
