Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, fft1, fft2, zip1, zip2
C1+F0+M0+Z0,SIMPLE,10,330918.0,526020.0,2299344.3,428469.0,19395.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,SIMPLE,20,336078.0,332388.0,2232186.4,334233.0,18822.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,10,330690.0,332532.0,2393532.6,331611.0,22533.1,0,0,0,0,0,0,0
C1+F0+M0+Z0,MET,20,333702.0,335898.0,2253123.4,334800.0,21336.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,ETF,10,340632.2,333576.0,2537817.3,337104.1,22101.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,ETF,20,335646.0,332892.0,2159694.3,334269.0,20721.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,EFT,10,337242.2,336780.0,2453874.4000000004,337011.1,22095.0,0,0,0,0,0,0,0
C1+F0+M0+Z0,EFT,20,334848.0,336270.2,2243757.3,335559.1,20298.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,SIMPLE,10,353112.0,349866.0,3222627.6,351489.0,18447.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,SIMPLE,20,359076.2,351018.0,2804400.5,355047.1,19437.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,MET,10,355836.0,346068.0,2917707.4,350952.0,21159.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,MET,20,351666.2,348978.0,2904969.3,350322.1,22410.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,ETF,10,352290.4,349752.0,2954745.7,351021.2,21120.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,ETF,20,347052.0,359694.0,2751939.5,353373.0,22497.0,0,0,0,0,0,0,0
C2+F0+M0+Z0,EFT,10,353496.0,351042.0,2943135.5,352269.0,21339.1,0,0,0,0,0,0,0
C2+F0+M0+Z0,EFT,20,355644.2,349956.2,2809572.6,352800.2,21345.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,SIMPLE,10,359976.0,362052.0,3228252.5,361014.0,19407.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,SIMPLE,20,370992.2,366654.0,3311637.4,368823.1,18285.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,MET,10,366228.0,370662.0,3220785.4,368445.0,20790.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,MET,20,398598.0,366702.4,3029700.6,382650.2,20757.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,ETF,10,422796.0,417006.0,2990910.7,419901.0,21789.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,ETF,20,364584.0,363984.0,2943519.5,364284.0,21621.0,0,0,0,0,0,0,0
C3+F0+M0+Z0,EFT,10,376134.2,361794.0,3484554.5,368964.1,21645.1,0,0,0,0,0,0,0
C3+F0+M0+Z0,EFT,20,393450.0,365766.2,3322017.5,379608.1,21348.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,SIMPLE,10,333672.0,346776.2,3108573.6,340224.1,21252.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,SIMPLE,20,339180.0,347520.2,2908212.4,343350.1,19533.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,MET,10,324186.0,304902.0,2838669.6,314544.0,21783.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,MET,20,303156.0,304392.0,2816586.5,303774.0,23262.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,ETF,10,305658.2,306996.0,3080136.5,306327.1,31119.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,ETF,20,305196.0,311862.4,2789184.5,308529.2,23259.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,EFT,10,331302.0,306762.0,2846334.4,319032.0,20940.0,0,0,0,0,0,0,0
C1+F1+M0+Z0,EFT,20,303606.0,302832.0,2793522.4000000004,303219.0,22383.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,SIMPLE,10,356712.0,356688.0,3091356.5,356700.0,17670.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,SIMPLE,20,353802.2,365460.0,3152535.3,359631.1,18057.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,MET,10,303120.0,307218.0,3409854.5,305169.0,22290.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,MET,20,493698.4,303630.4,3071109.6,398664.4,22113.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,ETF,10,313836.2,329556.2,3152064.7,321696.2,21798.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,ETF,20,308178.0,303942.0,3492726.6,306060.0,22299.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,EFT,10,313578.0,306276.0,3230106.7,309927.0,21183.0,0,0,0,0,0,0,0
C2+F1+M0+Z0,EFT,20,305358.0,329034.0,3017316.5,317196.0,20973.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,SIMPLE,10,370542.0,373248.0,3731907.5,371895.0,19389.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,SIMPLE,20,377736.0,380502.6,3344529.5,379119.3,17928.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,MET,10,306456.0,311418.0,3398145.4,308937.0,25371.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,MET,20,306666.0,525360.0,3997077.5999999996,416013.0,25512.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,ETF,10,341040.2,314916.0,3567684.6,327978.1,22851.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,ETF,20,304620.0,304572.0,3393126.5,304596.0,21645.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,EFT,10,335832.0,335700.0,3513312.6,335766.0,22356.0,0,0,0,0,0,0,0
C3+F1+M0+Z0,EFT,20,307248.0,351360.0,3507549.6,329304.0,22758.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,SIMPLE,10,387504.0,389250.0,2917050.4,388377.0,19569.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,SIMPLE,20,558336.0,383106.0,3057858.5,470721.0,19065.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,MET,10,557976.2,384402.0,3261192.6,471189.1,23607.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,MET,20,565332.0,563028.0,3159114.4000000004,564180.0,21891.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,ETF,10,385152.2,384408.0,2940831.4000000004,384780.1,21198.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,ETF,20,553902.2,384642.0,2981346.5,469272.1,23538.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,EFT,10,384804.2,386304.0,2916663.4,385554.1,21039.0,0,0,0,0,0,0,0
C1+F0+M0+Z1,EFT,20,581382.4,588750.0,3078759.7,585066.2,21252.1,0,0,0,0,0,0,0
C2+F0+M0+Z1,SIMPLE,10,388824.0,396342.0,3141963.4,392583.0,17955.0,0,0,0,0,0,0,0
