app_id: 0, app_name: TX_api-aarch64, task_id: 26, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168688441079, ref_stop_time: 1570168688466939, actual_exe_time: 25860, task_app_start_time:1570168667304126, task_sched_time:1570168688394129
app_id: 0, app_name: TX_api-aarch64, task_id: 27, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168688755359, ref_stop_time: 1570168688775699, actual_exe_time: 20340, task_app_start_time:1570168667304126, task_sched_time:1570168688752269
app_id: 0, app_name: TX_api-aarch64, task_id: 28, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168689613869, ref_stop_time: 1570168689634029, actual_exe_time: 20160, task_app_start_time:1570168667304126, task_sched_time:1570168689610899
app_id: 0, app_name: TX_api-aarch64, task_id: 29, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168690220710, ref_stop_time: 1570168690245220, actual_exe_time: 24510, task_app_start_time:1570168667304126, task_sched_time:1570168690216000
app_id: 0, app_name: TX_api-aarch64, task_id: 30, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168690929310, ref_stop_time: 1570168690949410, actual_exe_time: 20100, task_app_start_time:1570168667304126, task_sched_time:1570168690927030
app_id: 0, app_name: TX_api-aarch64, task_id: 31, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168692174220, ref_stop_time: 1570168692195040, actual_exe_time: 20820, task_app_start_time:1570168667304126, task_sched_time:1570168692170950
app_id: 0, app_name: TX_api-aarch64, task_id: 32, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168692816340, ref_stop_time: 1570168692841030, actual_exe_time: 24690, task_app_start_time:1570168667304126, task_sched_time:1570168692812350
app_id: 0, app_name: TX_api-aarch64, task_id: 33, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168693532800, ref_stop_time: 1570168693553440, actual_exe_time: 20640, task_app_start_time:1570168667304126, task_sched_time:1570168693529140
app_id: 0, app_name: TX_api-aarch64, task_id: 34, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168694077090, ref_stop_time: 1570168694097160, actual_exe_time: 20070, task_app_start_time:1570168667304126, task_sched_time:1570168694073880
app_id: 0, app_name: TX_api-aarch64, task_id: 35, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168694638090, ref_stop_time: 1570168694663650, actual_exe_time: 25560, task_app_start_time:1570168667304126, task_sched_time:1570168694631280
app_id: 0, app_name: TX_api-aarch64, task_id: 36, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168695199720, ref_stop_time: 1570168695221500, actual_exe_time: 21780, task_app_start_time:1570168667304126, task_sched_time:1570168695195070
app_id: 0, app_name: TX_api-aarch64, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168696002010, ref_stop_time: 1570168696023431, actual_exe_time: 21421, task_app_start_time:1570168667304126, task_sched_time:1570168695998350
app_id: 0, app_name: TX_api-aarch64, task_id: 38, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168696681121, ref_stop_time: 1570168696706741, actual_exe_time: 25620, task_app_start_time:1570168667304126, task_sched_time:1570168696634081
app_id: 0, app_name: TX_api-aarch64, task_id: 39, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168697396291, ref_stop_time: 1570168697416601, actual_exe_time: 20310, task_app_start_time:1570168667304126, task_sched_time:1570168697393171
app_id: 0, app_name: TX_api-aarch64, task_id: 40, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168698049451, ref_stop_time: 1570168698069701, actual_exe_time: 20250, task_app_start_time:1570168667304126, task_sched_time:1570168698045431
app_id: 0, app_name: TX_api-aarch64, task_id: 41, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168699281821, ref_stop_time: 1570168699305911, actual_exe_time: 24090, task_app_start_time:1570168667304126, task_sched_time:1570168699171661
app_id: 0, app_name: TX_api-aarch64, task_id: 42, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168699889621, ref_stop_time: 1570168699910561, actual_exe_time: 20940, task_app_start_time:1570168667304126, task_sched_time:1570168699886711
app_id: 0, app_name: TX_api-aarch64, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168700186381, ref_stop_time: 1570168700207081, actual_exe_time: 20700, task_app_start_time:1570168667304126, task_sched_time:1570168700183021
app_id: 0, app_name: TX_api-aarch64, task_id: 44, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168701142901, ref_stop_time: 1570168701168581, actual_exe_time: 25680, task_app_start_time:1570168667304126, task_sched_time:1570168701096191
app_id: 0, app_name: TX_api-aarch64, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168701806261, ref_stop_time: 1570168701827141, actual_exe_time: 20880, task_app_start_time:1570168667304126, task_sched_time:1570168701802961
app_id: 0, app_name: TX_api-aarch64, task_id: 46, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168702120481, ref_stop_time: 1570168702141631, actual_exe_time: 21150, task_app_start_time:1570168667304126, task_sched_time:1570168702117631
app_id: 0, app_name: TX_api-aarch64, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168703030772, ref_stop_time: 1570168703056122, actual_exe_time: 25350, task_app_start_time:1570168667304126, task_sched_time:1570168702982922
app_id: 0, app_name: TX_api-aarch64, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168703694282, ref_stop_time: 1570168703715192, actual_exe_time: 20910, task_app_start_time:1570168667304126, task_sched_time:1570168703691552
app_id: 0, app_name: TX_api-aarch64, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168704316452, ref_stop_time: 1570168704337242, actual_exe_time: 20790, task_app_start_time:1570168667304126, task_sched_time:1570168704312672
app_id: 0, app_name: TX_api-aarch64, task_id: 50, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168705327662, ref_stop_time: 1570168705353192, actual_exe_time: 25530, task_app_start_time:1570168667304126, task_sched_time:1570168705319892
app_id: 0, app_name: TX_api-aarch64, task_id: 51, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168706050212, ref_stop_time: 1570168706070432, actual_exe_time: 20220, task_app_start_time:1570168667304126, task_sched_time:1570168706047722
app_id: 0, app_name: TX_api-aarch64, task_id: 52, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168706697222, ref_stop_time: 1570168706717982, actual_exe_time: 20760, task_app_start_time:1570168667304126, task_sched_time:1570168706694402
app_id: 0, app_name: TX_api-aarch64, task_id: 53, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168707005832, ref_stop_time: 1570168707030852, actual_exe_time: 25020, task_app_start_time:1570168667304126, task_sched_time:1570168707002472
app_id: 0, app_name: TX_api-aarch64, task_id: 54, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168707887862, ref_stop_time: 1570168707908382, actual_exe_time: 20520, task_app_start_time:1570168667304126, task_sched_time:1570168707885432
app_id: 0, app_name: TX_api-aarch64, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168708571653, ref_stop_time: 1570168708592353, actual_exe_time: 20700, task_app_start_time:1570168667304126, task_sched_time:1570168708568713
app_id: 0, app_name: TX_api-aarch64, task_id: 56, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 1570168709133973, ref_stop_time: 1570168709160013, actual_exe_time: 26040, task_app_start_time:1570168667304126, task_sched_time:1570168709101183
app_id: 0, app_name: TX_api-aarch64, task_id: 57, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 1570168709488723, ref_stop_time: 1570168709508823, actual_exe_time: 20100, task_app_start_time:1570168667304126, task_sched_time:1570168709485903
app_id: 0, app_name: TX_api-aarch64, task_id: 58, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 1570168710347833, ref_stop_time: 1570168710368023, actual_exe_time: 20190, task_app_start_time:1570168667304126, task_sched_time:1570168710344443
