app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947765367566, ref_stop_time: 778947765535296, actual_exe_time: 167730, task_app_start_time:778947764080176, task_sched_time:778947765354036
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947766729236, ref_stop_time: 778947766811676, actual_exe_time: 82440, task_app_start_time:778947764080176, task_sched_time:778947766721556
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778947766898376, ref_stop_time: 778947767059476, actual_exe_time: 161100, task_app_start_time:778947764080176, task_sched_time:778947766894356
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947767131146, ref_stop_time: 778947767218897, actual_exe_time: 87751, task_app_start_time:778947764080176, task_sched_time:778947767124186
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947767466037, ref_stop_time: 778947767546317, actual_exe_time: 80280, task_app_start_time:778947766401486, task_sched_time:778947767461927
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947768543367, ref_stop_time: 778947768620827, actual_exe_time: 77460, task_app_start_time:778947766401486, task_sched_time:778947768541027
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778947768700927, ref_stop_time: 778947769793737, actual_exe_time: 1092810, task_app_start_time:778947766401486, task_sched_time:778947768698407
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947769765717, ref_stop_time: 778947769844137, actual_exe_time: 78420, task_app_start_time:778947768714817, task_sched_time:778947769761427
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947769851907, ref_stop_time: 778947769932667, actual_exe_time: 80760, task_app_start_time:778947766401486, task_sched_time:778947769849537
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947770847217, ref_stop_time: 778947770924107, actual_exe_time: 76890, task_app_start_time:778947768714817, task_sched_time:778947770843707
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778947771009637, ref_stop_time: 778947771130447, actual_exe_time: 120810, task_app_start_time:778947768714817, task_sched_time:778947771003487
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947771938827, ref_stop_time: 778947772022287, actual_exe_time: 83460, task_app_start_time:778947768714817, task_sched_time:778947771179557
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947772027237, ref_stop_time: 778947772108297, actual_exe_time: 81060, task_app_start_time:778947771028177, task_sched_time:778947771929257
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947772985917, ref_stop_time: 778947773067337, actual_exe_time: 81420, task_app_start_time:778947771028177, task_sched_time:778947772978477
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778947773145397, ref_stop_time: 778947773261617, actual_exe_time: 116220, task_app_start_time:778947771028177, task_sched_time:778947773142187
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947773322307, ref_stop_time: 778947773407088, actual_exe_time: 84781, task_app_start_time:778947771028177, task_sched_time:778947773315827
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947774232478, ref_stop_time: 778947774312278, actual_exe_time: 79800, task_app_start_time:778947773339227, task_sched_time:778947774228578
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947775186778, ref_stop_time: 778947775264268, actual_exe_time: 77490, task_app_start_time:778947773339227, task_sched_time:778947775183328
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 778947775344518, ref_stop_time: 778947775460498, actual_exe_time: 115980, task_app_start_time:778947773339227, task_sched_time:778947775341788
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 778947775518668, ref_stop_time: 778947775598918, actual_exe_time: 80250, task_app_start_time:778947773339227, task_sched_time:778947775516208
