app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382448616703, ref_stop_time: 780382448729323, actual_exe_time: 112620, task_app_start_time:780382447356313, task_sched_time:780382448602903
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382450751114, ref_stop_time: 780382450812614, actual_exe_time: 61500, task_app_start_time:780382449674774, task_sched_time:780382450738904
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382451048144, ref_stop_time: 780382451119994, actual_exe_time: 71850, task_app_start_time:780382447356313, task_sched_time:780382451035604
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780382451260574, ref_stop_time: 780382451408144, actual_exe_time: 147570, task_app_start_time:780382447356313, task_sched_time:780382451252324
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382451511164, ref_stop_time: 780382451612354, actual_exe_time: 101190, task_app_start_time:780382447356313, task_sched_time:780382451507624
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382452965024, ref_stop_time: 780382453026794, actual_exe_time: 61770, task_app_start_time:780382451989754, task_sched_time:780382452946514
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382453989074, ref_stop_time: 780382454050214, actual_exe_time: 61140, task_app_start_time:780382449674774, task_sched_time:780382453742864
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780382454225144, ref_stop_time: 780382454345684, actual_exe_time: 120540, task_app_start_time:780382449674774, task_sched_time:780382454213984
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382454471354, ref_stop_time: 780382454568854, actual_exe_time: 97500, task_app_start_time:780382449674774, task_sched_time:780382454466794
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382455414794, ref_stop_time: 780382455473085, actual_exe_time: 58291, task_app_start_time:780382454305004, task_sched_time:780382455406394
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382455689775, ref_stop_time: 780382455751845, actual_exe_time: 62070, task_app_start_time:780382451989754, task_sched_time:780382455685275
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780382455911025, ref_stop_time: 780382456028415, actual_exe_time: 117390, task_app_start_time:780382451989754, task_sched_time:780382455907245
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382456162125, ref_stop_time: 780382456261335, actual_exe_time: 99210, task_app_start_time:780382451989754, task_sched_time:780382456151865
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382457514975, ref_stop_time: 780382457578065, actual_exe_time: 63090, task_app_start_time:780382456626075, task_sched_time:780382457507055
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 780382457548575, ref_stop_time: 780382457625885, actual_exe_time: 77310, task_app_start_time:780382454305004, task_sched_time:780382457540715
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780382457747415, ref_stop_time: 780382457863965, actual_exe_time: 116550, task_app_start_time:780382454305004, task_sched_time:780382457744685
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382457967915, ref_stop_time: 780382458067035, actual_exe_time: 99120, task_app_start_time:780382454305004, task_sched_time:780382457955765
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382460120445, ref_stop_time: 780382460179125, actual_exe_time: 58680, task_app_start_time:780382456626075, task_sched_time:780382460107935
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 780382460353665, ref_stop_time: 780382460473155, actual_exe_time: 119490, task_app_start_time:780382456626075, task_sched_time:780382460337975
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 780382460600295, ref_stop_time: 780382460698965, actual_exe_time: 98670, task_app_start_time:780382456626075, task_sched_time:780382460593635
