app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657524451300, ref_stop_time: 779657524562210, actual_exe_time: 110910, task_app_start_time:779657523148369, task_sched_time:779657524439750
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779657526933590, ref_stop_time: 779657527030820, actual_exe_time: 97230, task_app_start_time:779657525834150, task_sched_time:779657526929660
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657526944750, ref_stop_time: 779657527015940, actual_exe_time: 71190, task_app_start_time:779657523148369, task_sched_time:779657526914870
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779657527162550, ref_stop_time: 779657527310930, actual_exe_time: 148380, task_app_start_time:779657523148369, task_sched_time:779657527152350
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657527569620, ref_stop_time: 779657527673420, actual_exe_time: 103800, task_app_start_time:779657523148369, task_sched_time:779657527410740
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657529047030, ref_stop_time: 779657529109520, actual_exe_time: 62490, task_app_start_time:779657525834150, task_sched_time:779657529039380
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779657529233750, ref_stop_time: 779657529353210, actual_exe_time: 119460, task_app_start_time:779657525834150, task_sched_time:779657529228800
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657529445610, ref_stop_time: 779657529546320, actual_exe_time: 100710, task_app_start_time:779657525834150, task_sched_time:779657529442730
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657530240790, ref_stop_time: 779657530299440, actual_exe_time: 58650, task_app_start_time:779657529307160, task_sched_time:779657530231760
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657530952121, ref_stop_time: 779657531012931, actual_exe_time: 60810, task_app_start_time:779657527572620, task_sched_time:779657530945041
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657531951721, ref_stop_time: 779657532011751, actual_exe_time: 60030, task_app_start_time:779657527572620, task_sched_time:779657531714511
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657532082011, ref_stop_time: 779657532143331, actual_exe_time: 61320, task_app_start_time:779657531042271, task_sched_time:779657531938101
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779657532178911, ref_stop_time: 779657532298551, actual_exe_time: 119640, task_app_start_time:779657527572620, task_sched_time:779657532166761
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657532629121, ref_stop_time: 779657532688671, actual_exe_time: 59550, task_app_start_time:779657529307160, task_sched_time:779657532066651
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657532727551, ref_stop_time: 779657532826851, actual_exe_time: 99300, task_app_start_time:779657527572620, task_sched_time:779657532415431
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779657532820371, ref_stop_time: 779657532941661, actual_exe_time: 121290, task_app_start_time:779657529307160, task_sched_time:779657532805281
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657533034751, ref_stop_time: 779657533133601, actual_exe_time: 98850, task_app_start_time:779657529307160, task_sched_time:779657533029441
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657533868091, ref_stop_time: 779657533930521, actual_exe_time: 62430, task_app_start_time:779657531042271, task_sched_time:779657533861491
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779657534057241, ref_stop_time: 779657534173701, actual_exe_time: 116460, task_app_start_time:779657531042271, task_sched_time:779657534047221
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 779657534266971, ref_stop_time: 779657534366631, actual_exe_time: 99660, task_app_start_time:779657531042271, task_sched_time:779657534261811
