app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044085125167, ref_stop_time: 779044085235027, actual_exe_time: 109860, task_app_start_time:779044083857217, task_sched_time:779044085119587
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044087161598, ref_stop_time: 779044087226398, actual_exe_time: 64800, task_app_start_time:779044086042987, task_sched_time:779044087147438
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044087761358, ref_stop_time: 779044087822408, actual_exe_time: 61050, task_app_start_time:779044083857217, task_sched_time:779044087567978
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779044087968118, ref_stop_time: 779044088116258, actual_exe_time: 148140, task_app_start_time:779044083857217, task_sched_time:779044087958608
app_id: 0, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044088221948, ref_stop_time: 779044088322778, actual_exe_time: 100830, task_app_start_time:779044083857217, task_sched_time:779044088217088
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044089192448, ref_stop_time: 779044089256108, actual_exe_time: 63660, task_app_start_time:779044086042987, task_sched_time:779044089186088
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044089586588, ref_stop_time: 779044089647578, actual_exe_time: 60990, task_app_start_time:779044088353528, task_sched_time:779044089582178
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779044089590698, ref_stop_time: 779044089712378, actual_exe_time: 121680, task_app_start_time:779044086042987, task_sched_time:779044089364798
app_id: 1, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044089811258, ref_stop_time: 779044089911158, actual_exe_time: 99900, task_app_start_time:779044086042987, task_sched_time:779044089802498
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044091592838, ref_stop_time: 779044091652268, actual_exe_time: 59430, task_app_start_time:779044090669168, task_sched_time:779044091584168
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 779044091621578, ref_stop_time: 779044091724328, actual_exe_time: 102750, task_app_start_time:779044088353528, task_sched_time:779044091614798
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779044091852368, ref_stop_time: 779044091971258, actual_exe_time: 118890, task_app_start_time:779044088353528, task_sched_time:779044091847868
app_id: 2, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044092058288, ref_stop_time: 779044092157168, actual_exe_time: 98880, task_app_start_time:779044088353528, task_sched_time:779044092055348
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044093851179, ref_stop_time: 779044093910609, actual_exe_time: 59430, task_app_start_time:779044090669168, task_sched_time:779044093400669
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 0, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044093982249, ref_stop_time: 779044094079689, actual_exe_time: 97440, task_app_start_time:779044092984058, task_sched_time:779044093835999
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779044094042669, ref_stop_time: 779044094159579, actual_exe_time: 116910, task_app_start_time:779044090669168, task_sched_time:779044094039099
app_id: 3, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044094559059, ref_stop_time: 779044094655479, actual_exe_time: 96420, task_app_start_time:779044090669168, task_sched_time:779044094275109
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 1, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044095712619, ref_stop_time: 779044095774389, actual_exe_time: 61770, task_app_start_time:779044092984058, task_sched_time:779044095706739
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 2, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 779044095893969, ref_stop_time: 779044096009649, actual_exe_time: 115680, task_app_start_time:779044092984058, task_sched_time:779044095888929
app_id: 4, app_name: radar_correlator_api-aarch64, task_id: 3, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 779044096106369, ref_stop_time: 779044096206119, actual_exe_time: 99750, task_app_start_time:779044092984058, task_sched_time:779044096102349
